SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
04/14/2022 12:30:15,N,AEEC,       23.09
04/14/2022 12:30:15,N,AJAXWIND_RN,       23.62
04/14/2022 12:30:15,N,ALGOD_ALL_RN,       14.15
04/14/2022 12:30:15,N,ALVIN_RN,      -18.00
04/14/2022 12:30:15,N,AMADEUS_ALL,       22.94
04/14/2022 12:30:15,N,AMISTAD_ALL,      -37.86
04/14/2022 12:30:15,N,AMOCOOIL_CC1,       78.02
04/14/2022 12:30:15,N,AMOCOOIL_CC2,       78.02
04/14/2022 12:30:15,N,AMOCO_PUN1,       78.02
04/14/2022 12:30:15,N,AMOCO_PUN2,       78.02
04/14/2022 12:30:15,N,AMO_AMOCO_1,       78.02
04/14/2022 12:30:15,N,AMO_AMOCO_2,       78.02
04/14/2022 12:30:15,N,AMO_AMOCO_5,       78.02
04/14/2022 12:30:15,N,AMO_AMOCO_G1,       78.02
04/14/2022 12:30:15,N,AMO_AMOCO_G2,       78.02
04/14/2022 12:30:15,N,AMO_AMOCO_G3,       78.02
04/14/2022 12:30:15,N,AMO_AMOCO_S1,       78.02
04/14/2022 12:30:15,N,AMO_AMOCO_S2,       78.02
04/14/2022 12:30:15,N,ANACACHO_ANA,      -34.10
04/14/2022 12:30:15,N,ANCHOR_ALL,       24.52
04/14/2022 12:30:15,N,ANSON1_ALL,       23.37
04/14/2022 12:30:15,N,AQUI_ALL,       24.46
04/14/2022 12:30:15,N,ARAGORN_RN,       19.98
04/14/2022 12:30:15,N,ASTRA_RN,       23.25
04/14/2022 12:30:15,N,ATK_ATKINSG7,       28.21
04/14/2022 12:30:15,N,AUSTPL_ALL,       19.52
04/14/2022 12:30:15,N,AVIAT_ALL,       21.64
04/14/2022 12:30:15,N,AZURE_RN,       23.53
04/14/2022 12:30:15,N,AZ_ALL,       48.10
04/14/2022 12:30:15,N,BAC_RN_ALL,       78.02
04/14/2022 12:30:15,N,BAFFIN_ALL,       -4.00
04/14/2022 12:30:15,N,BAIRDWND_ALL,       24.00
04/14/2022 12:30:15,N,BARROW_ALL,       20.59
04/14/2022 12:30:15,N,BASTEN_CC1,       18.75
04/14/2022 12:30:15,N,BASTEN_CCU,       18.75
04/14/2022 12:30:15,N,BATCAVE_RN,       19.57
04/14/2022 12:30:15,N,BBREEZE_1_2,       -2.17
04/14/2022 12:30:15,N,BCATWD_WD_1,       23.78
04/14/2022 12:30:15,N,BCH_RN,       53.18
04/14/2022 12:30:15,N,BCK_RN,       29.50
04/14/2022 12:30:15,N,BIGSTAR_ALL,       18.54
04/14/2022 12:30:15,N,BLACKJAK_RN,       14.83
04/14/2022 12:30:15,N,BLSMT1_5_A_6,       23.50
04/14/2022 12:30:15,N,BLUEJAY_RN,       28.46
04/14/2022 12:30:15,N,BOOTLEG_UN1,       19.11
04/14/2022 12:30:15,N,BORDAS_345,       16.33
04/14/2022 12:30:15,N,BOSQUESW_CC1,       24.21
04/14/2022 12:30:15,N,BOSQUESW_CC2,       24.19
04/14/2022 12:30:15,N,BOSQ_BSQSU_5,       24.19
04/14/2022 12:30:15,N,BOSQ_BSQS_12,       24.19
04/14/2022 12:30:15,N,BOSQ_BSQS_34,       24.21
04/14/2022 12:30:15,N,BRANDON_RN,       22.99
04/14/2022 12:30:15,N,BRAUNIG_CC1,       17.70
04/14/2022 12:30:15,N,BRAUNIG_VHB1,       17.99
04/14/2022 12:30:15,N,BRAUNIG_VHB2,       17.98
04/14/2022 12:30:15,N,BRAUNIG_VHB3,       17.96
04/14/2022 12:30:15,N,BRAZ_WND_ALL,       22.46
04/14/2022 12:30:15,N,BRA_AVR1_CT2,       17.70
04/14/2022 12:30:15,N,BRA_AVR_CST1,       17.70
04/14/2022 12:30:15,N,BRHEIGHT_RN,       78.02
04/14/2022 12:30:15,N,BRIGHTSD_RN,       16.98
04/14/2022 12:30:15,N,BRISCOE_WIND,       23.29
04/14/2022 12:30:15,N,BRPANGLE_RN,       75.04
04/14/2022 12:30:15,N,BRPMAGNO_RN,      178.24
04/14/2022 12:30:15,N,BRP_BRAZ_RN,       76.99
04/14/2022 12:30:15,N,BRP_DIKN_RN,      140.94
04/14/2022 12:30:15,N,BRP_LOOP_RN,       23.29
04/14/2022 12:30:15,N,BRP_LOP1_RN,       16.66
04/14/2022 12:30:15,N,BRP_PBL1_RN,       63.77
04/14/2022 12:30:15,N,BRP_PBL2_RN,       63.77
04/14/2022 12:30:15,N,BRP_RN_UNIT1,       18.05
04/14/2022 12:30:15,N,BRP_SEMI_RN,     -144.21
04/14/2022 12:30:15,N,BRP_SWNY_RN,       78.51
04/14/2022 12:30:15,N,BRP_ZPT1_RN,       17.21
04/14/2022 12:30:15,N,BRP_ZPT2_RN,       17.21
04/14/2022 12:30:15,N,BRTSW_BCW1,       24.16
04/14/2022 12:30:15,N,BR_VHB6CT5_6,       17.99
04/14/2022 12:30:15,N,BR_VHB6CT7_8,       17.99
04/14/2022 12:30:15,N,BSS_U1,       80.43
04/14/2022 12:30:15,N,BTE_BTE_G1,       46.40
04/14/2022 12:30:15,N,BTE_BTE_G2,       46.40
04/14/2022 12:30:15,N,BTE_BTE_G3,       46.40
04/14/2022 12:30:15,N,BTE_BTE_G4,       46.40
04/14/2022 12:30:15,N,BTE_CC1,       46.40
04/14/2022 12:30:15,N,BTE_PUN1,       46.40
04/14/2022 12:30:15,N,BTE_PUN2,       46.40
04/14/2022 12:30:15,N,BUCHAN_ALL,       19.61
04/14/2022 12:30:15,N,BUCKTHRN_RN,       24.05
04/14/2022 12:30:15,N,BUFF_GAP_ALL,       22.38
04/14/2022 12:30:15,N,BULLCRK_1_2,       22.44
04/14/2022 12:30:15,N,BVE_CC1,       30.07
04/14/2022 12:30:15,N,BVE_UNIT1,       30.07
04/14/2022 12:30:15,N,BVE_UNIT2,       30.07
04/14/2022 12:30:15,N,BVE_UNIT3,       30.07
04/14/2022 12:30:15,N,BYRDR_ES_ALL,       78.51
04/14/2022 12:30:15,N,BYU_BYU_1,       57.07
04/14/2022 12:30:15,N,BYU_BYU_12,       57.07
04/14/2022 12:30:15,N,BYU_BYU_34,       57.07
04/14/2022 12:30:15,N,BYU_BYU_G8,       57.08
04/14/2022 12:30:15,N,BYU_CC1,       57.07
04/14/2022 12:30:15,N,BYU_PUN1,       57.07
04/14/2022 12:30:15,N,BYU_PUN2,       57.07
04/14/2022 12:30:15,N,BYU_PUN3,       57.07
04/14/2022 12:30:15,N,BYU_PUN4,       57.07
04/14/2022 12:30:15,N,B_DAVIS_3,       13.19
04/14/2022 12:30:15,N,B_DAVIS_4,       13.19
04/14/2022 12:30:15,N,B_DAVIS_CC1,       13.19
04/14/2022 12:30:15,N,B_D_B_DAVIG1,       13.19
04/14/2022 12:30:15,N,B_D_B_DAVIG2,       13.19
04/14/2022 12:30:15,N,CABEZON_ALL,       16.30
04/14/2022 12:30:15,N,CALAVER_JKS1,       17.58
04/14/2022 12:30:15,N,CALAVER_JKS2,       17.58
04/14/2022 12:30:15,N,CALAVER_JTD1,       17.92
04/14/2022 12:30:15,N,CALAVER_JTD2,       17.92
04/14/2022 12:30:15,N,CALAVER_OWS1,       17.92
04/14/2022 12:30:15,N,CALAVER_OWS2,       17.97
04/14/2022 12:30:15,N,CALHOUN_ALL,      -22.04
04/14/2022 12:30:15,N,CALLAHA_WND1,       22.45
04/14/2022 12:30:15,N,CAL_CALGT1,       48.51
04/14/2022 12:30:15,N,CAL_CALSTG1,       48.51
04/14/2022 12:30:15,N,CAL_CC1,       48.51
04/14/2022 12:30:15,N,CAL_PUN1,       48.51
04/14/2022 12:30:15,N,CAL_PUN2,       48.51
04/14/2022 12:30:15,N,CAMWIND_RN,       15.30
04/14/2022 12:30:15,N,CAPRIDG4_CR4,       21.64
04/14/2022 12:30:15,N,CAPRIDGE_ALL,       21.64
04/14/2022 12:30:15,N,CARBN_BSP_1,       21.53
04/14/2022 12:30:15,N,CASL_GAP_UN1,       17.91
04/14/2022 12:30:15,N,CBECII_1,       28.97
04/14/2022 12:30:15,N,CBECII_2,       28.97
04/14/2022 12:30:15,N,CBECII_89,       28.97
04/14/2022 12:30:15,N,CBECII_CC3,       28.97
04/14/2022 12:30:15,N,CBECII_CT7,       28.97
04/14/2022 12:30:15,N,CBEC_ALL,      244.15
04/14/2022 12:30:15,N,CBEC_CC1,      244.15
04/14/2022 12:30:15,N,CBEC_CC2,      244.15
04/14/2022 12:30:15,N,CBY4_ALL,       47.17
04/14/2022 12:30:15,N,CBY4_CC1,       47.17
04/14/2022 12:30:15,N,CBY_CBY_G1,       48.15
04/14/2022 12:30:15,N,CBY_CBY_G2,       47.41
04/14/2022 12:30:15,N,CCEC_CC1,       13.11
04/14/2022 12:30:15,N,CCEC_GT1,       13.11
04/14/2022 12:30:15,N,CCEC_GT2,       13.11
04/14/2022 12:30:15,N,CCEC_PUN1,       13.11
04/14/2022 12:30:15,N,CCEC_PUN2,       13.11
04/14/2022 12:30:15,N,CCEC_ST1,       13.11
04/14/2022 12:30:15,N,CEDROHI_CHW1,       16.80
04/14/2022 12:30:15,N,CFLATS_UNIT,       20.65
04/14/2022 12:30:15,N,CHALUP_ALL,       15.30
04/14/2022 12:30:15,N,CHAMON_UN1,       44.11
04/14/2022 12:30:15,N,CHAMON_UN2,       44.11
04/14/2022 12:30:15,N,CHEDPW_GT2,       40.70
04/14/2022 12:30:15,N,CHE_CC1,       41.01
04/14/2022 12:30:15,N,CHE_LYD,       41.95
04/14/2022 12:30:15,N,CHE_LYD2,       41.95
04/14/2022 12:30:15,N,CHE_PUN1,       41.95
04/14/2022 12:30:15,N,CHE_PUN2,       41.95
04/14/2022 12:30:15,N,CHISMGRD_RN,       24.35
04/14/2022 12:30:15,N,CITYVICT_ALL,       20.37
04/14/2022 12:30:15,N,CN_BRKS_UNT1,       23.27
04/14/2022 12:30:15,N,COL_COLETOG1,       17.92
04/14/2022 12:30:15,N,CONIGLIO_RN,       24.68
04/14/2022 12:30:15,N,CORAZON_RN,       16.88
04/14/2022 12:30:15,N,COTPLNS_RN,       23.22
04/14/2022 12:30:15,N,COTTON_PAP2,       13.48
04/14/2022 12:30:15,N,CPSES_UNIT1,       24.33
04/14/2022 12:30:15,N,CPSES_UNIT2,       24.33
04/14/2022 12:30:15,N,CRANELL_ALL,       14.83
04/14/2022 12:30:15,N,CROSSETT_ALL,       17.64
04/14/2022 12:30:15,N,CSC_CSECG1_2,       22.53
04/14/2022 12:30:15,N,CVC_CC1,       40.56
04/14/2022 12:30:15,N,CVC_CVCG1_5,       40.56
04/14/2022 12:30:15,N,CVC_CVC_G2,       40.56
04/14/2022 12:30:15,N,CVC_CVC_G3,       40.56
04/14/2022 12:30:15,N,DANSBY_ALL,       28.02
04/14/2022 12:30:15,N,DC2SES_ALL,       24.34
04/14/2022 12:30:15,N,DC_E,       24.71
04/14/2022 12:30:15,N,DC_L,       17.46
04/14/2022 12:30:15,N,DC_N,       23.54
04/14/2022 12:30:15,N,DC_R,       15.53
04/14/2022 12:30:15,N,DC_S,       71.20
04/14/2022 12:30:15,N,DDPEC_CC1,       55.42
04/14/2022 12:30:15,N,DDPEC_GT1,       55.42
04/14/2022 12:30:15,N,DDPEC_GT2,       55.42
04/14/2022 12:30:15,N,DDPEC_GT3,       55.42
04/14/2022 12:30:15,N,DDPEC_GT4,       55.42
04/14/2022 12:30:15,N,DDPEC_GT6,       55.42
04/14/2022 12:30:15,N,DDPEC_ST1,       55.42
04/14/2022 12:30:15,N,DECKER_DPG1,       19.44
04/14/2022 12:30:15,N,DECKER_DPG2,       19.44
04/14/2022 12:30:15,N,DECKER_GT,       19.37
04/14/2022 12:30:15,N,DENISON_G1_2,       24.65
04/14/2022 12:30:15,N,DERMOTT_ALL,       22.94
04/14/2022 12:30:15,N,DIB_CC1,       51.55
04/14/2022 12:30:15,N,DIB_DIB_G1,       51.55
04/14/2022 12:30:15,N,DIB_DIB_G2,       51.55
04/14/2022 12:30:15,N,DIB_DIB_G3,       51.55
04/14/2022 12:30:15,N,DIB_DIB_G4,       51.55
04/14/2022 12:30:15,N,DIB_PUN1,       51.55
04/14/2022 12:30:15,N,DIB_PUN2,       51.55
04/14/2022 12:30:15,N,DOWGEN_PUN1,       27.27
04/14/2022 12:30:15,N,DOWGEN_PUN2,       27.27
04/14/2022 12:30:15,N,DOWGEN_PUN3,       27.27
04/14/2022 12:30:15,N,DOW_61_2_63,       27.27
04/14/2022 12:30:15,N,DOW_64,       27.27
04/14/2022 12:30:15,N,DOW_81_2_84,       27.27
04/14/2022 12:30:15,N,DOW_G37_G35,       27.27
04/14/2022 12:30:15,N,DOW_G66_ST65,       27.27
04/14/2022 12:30:15,N,DOW_G67,       27.27
04/14/2022 12:30:15,N,DOW_G96_ST95,       27.27
04/14/2022 12:30:15,N,DUKE_CC1,       15.39
04/14/2022 12:30:15,N,DUKE_GST1CCU,       15.39
04/14/2022 12:30:15,N,DUKE_GT2_CCU,       15.39
04/14/2022 12:30:15,N,DUP_PUN1,       14.14
04/14/2022 12:30:15,N,DUP_PUN2,       14.14
04/14/2022 12:30:15,N,DUP_PUN3,       14.14
04/14/2022 12:30:15,N,DUP_PUN4,       14.14
04/14/2022 12:30:15,N,ECLIPSE_UN1,      -33.73
04/14/2022 12:30:15,N,ELB_ELBCREEK,       21.35
04/14/2022 12:30:15,N,ELECTRAW_1_2,       23.55
04/14/2022 12:30:15,N,ELS_RN_1,       24.73
04/14/2022 12:30:15,N,EL_RAYO_ALL,       15.32
04/14/2022 12:30:15,N,ENAS_ENA1,       22.22
04/14/2022 12:30:15,N,ERSL_RN,       22.90
04/14/2022 12:30:15,N,ETCCS_CC1,       24.83
04/14/2022 12:30:15,N,ETCCS_CCU,       24.83
04/14/2022 12:30:15,N,EUNICE_ALL,       20.67
04/14/2022 12:30:15,N,EXGNSND_RN,       17.21
04/14/2022 12:30:15,N,EXGNWTL_1,       16.80
04/14/2022 12:30:15,N,EXN_14,       47.40
04/14/2022 12:30:15,N,EXN_1_3,       47.40
04/14/2022 12:30:15,N,EXN_4,       47.40
04/14/2022 12:30:15,N,EXN_8,       47.40
04/14/2022 12:30:15,N,EXN_9_13,       47.40
04/14/2022 12:30:15,N,EXN_PUN1,       47.40
04/14/2022 12:30:15,N,EXN_PUN2,       47.40
04/14/2022 12:30:15,N,EXN_PUN3,       47.40
04/14/2022 12:30:15,N,E_BLACK_RN,       20.91
04/14/2022 12:30:15,N,FAL_FALCONG1,       16.37
04/14/2022 12:30:15,N,FAL_FALCONG2,       16.37
04/14/2022 12:30:15,N,FAL_FALCONG3,       16.37
04/14/2022 12:30:15,N,FAULKNER_RN,       19.86
04/14/2022 12:30:15,N,FEGC_RN,       46.67
04/14/2022 12:30:15,N,FERGCC_CC1,       19.37
04/14/2022 12:30:15,N,FERGCC_GT1_1,       19.37
04/14/2022 12:30:15,N,FERGCC_GT2_3,       19.37
04/14/2022 12:30:15,N,FERGCC_ST1_5,       19.37
04/14/2022 12:30:15,N,FERMI_ALL,      -25.01
04/14/2022 12:30:15,N,FLCNS_CC1,       21.49
04/14/2022 12:30:15,N,FLCNS_UNIT1,       21.49
04/14/2022 12:30:15,N,FLCNS_UNIT2,       21.49
04/14/2022 12:30:15,N,FLCNS_UNIT3,       21.49
04/14/2022 12:30:15,N,FLOWERII_RN,       19.64
04/14/2022 12:30:15,N,FLTBES1,       19.64
04/14/2022 12:30:15,N,FLTCK_SSI,       23.69
04/14/2022 12:30:15,N,FLUVANNA_1_2,       22.82
04/14/2022 12:30:15,N,FLVABES1_ESR,       19.64
04/14/2022 12:30:15,N,FOARDCTY_ALL,       23.46
04/14/2022 12:30:15,N,FORMOSA_CC1,      -27.30
04/14/2022 12:30:15,N,FORMOSA_CC2,      -27.30
04/14/2022 12:30:15,N,FORMOSA_PUN1,      -27.30
04/14/2022 12:30:15,N,FORMOSA_PUN2,      -27.30
04/14/2022 12:30:15,N,FOXTROT_ALL,       16.29
04/14/2022 12:30:15,N,FO_FORMOSA11,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSA12,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG1,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG10,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG13,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG14,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG15,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG2,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG3,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG4,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG5,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG6,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG7,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG8,      -27.30
04/14/2022 12:30:15,N,FO_FORMOSG9,      -27.30
04/14/2022 12:30:15,N,FPPYD_FPP_G1,       17.86
04/14/2022 12:30:15,N,FPPYD_FPP_G2,       17.86
04/14/2022 12:30:15,N,FPPYD_FPP_G3,       17.84
04/14/2022 12:30:15,N,FREC_1_CCU,       24.99
04/14/2022 12:30:15,N,FREC_2_CCU,       24.98
04/14/2022 12:30:15,N,FREC_CC1,       24.99
04/14/2022 12:30:15,N,FREC_CC2,       24.98
04/14/2022 12:30:15,N,FRNYPP_1_CCU,       24.84
04/14/2022 12:30:15,N,FRNYPP_2_CCU,       24.84
04/14/2022 12:30:15,N,FRNYPP_CC1,       24.84
04/14/2022 12:30:15,N,FRNYPP_CC2,       24.84
04/14/2022 12:30:15,N,FTR_CC1,       29.40
04/14/2022 12:30:15,N,FTR_FTR_G1_4,       29.40
04/14/2022 12:30:15,N,FTWIND_UNIT1,       23.23
04/14/2022 12:30:15,N,FWLR_SLR_1,       17.72
04/14/2022 12:30:15,N,GALO_RN1,       22.00
04/14/2022 12:30:15,N,GAMBIT_RN,       75.04
04/14/2022 12:30:15,N,GBY_GT,       39.73
