SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
04/15/2022 16:07:30,N,AEEC,       -9.65
04/15/2022 16:07:30,N,AJAXWIND_RN,      -54.38
04/15/2022 16:07:30,N,ALGOD_ALL_RN,       37.49
04/15/2022 16:07:30,N,ALVIN_RN,        7.66
04/15/2022 16:07:30,N,AMADEUS_ALL,        4.01
04/15/2022 16:07:30,N,AMISTAD_ALL,      -36.88
04/15/2022 16:07:30,N,AMOCOOIL_CC1,       69.93
04/15/2022 16:07:30,N,AMOCOOIL_CC2,       69.93
04/15/2022 16:07:30,N,AMOCO_PUN1,       69.93
04/15/2022 16:07:30,N,AMOCO_PUN2,       69.93
04/15/2022 16:07:30,N,AMO_AMOCO_1,       69.93
04/15/2022 16:07:30,N,AMO_AMOCO_2,       69.93
04/15/2022 16:07:30,N,AMO_AMOCO_5,       69.93
04/15/2022 16:07:30,N,AMO_AMOCO_G1,       69.93
04/15/2022 16:07:30,N,AMO_AMOCO_G2,       69.93
04/15/2022 16:07:30,N,AMO_AMOCO_G3,       69.93
04/15/2022 16:07:30,N,AMO_AMOCO_S1,       69.93
04/15/2022 16:07:30,N,AMO_AMOCO_S2,       69.93
04/15/2022 16:07:30,N,ANACACHO_ANA,      -34.09
04/15/2022 16:07:30,N,ANCHOR_ALL,       23.50
04/15/2022 16:07:30,N,ANSON1_ALL,       11.08
04/15/2022 16:07:30,N,AQUI_ALL,       41.18
04/15/2022 16:07:30,N,ARAGORN_RN,       14.31
04/15/2022 16:07:30,N,ASTRA_RN,      -16.43
04/15/2022 16:07:30,N,ATK_ATKINSG7,       42.10
04/15/2022 16:07:30,N,AUSTPL_ALL,       38.11
04/15/2022 16:07:30,N,AVIAT_ALL,       19.06
04/15/2022 16:07:30,N,AZURE_RN,        2.08
04/15/2022 16:07:30,N,AZ_ALL,       51.22
04/15/2022 16:07:30,N,BAC_RN_ALL,       69.93
04/15/2022 16:07:30,N,BAFFIN_ALL,        -.48
04/15/2022 16:07:30,N,BAIRDWND_ALL,       16.08
04/15/2022 16:07:30,N,BARROW_ALL,       13.90
04/15/2022 16:07:30,N,BASTEN_CC1,       38.32
04/15/2022 16:07:30,N,BASTEN_CCU,       38.32
04/15/2022 16:07:30,N,BATCAVE_RN,       33.43
04/15/2022 16:07:30,N,BBREEZE_1_2,      -34.43
04/15/2022 16:07:30,N,BCATWD_WD_1,     1686.79
04/15/2022 16:07:30,N,BCH_RN,       40.42
04/15/2022 16:07:30,N,BCK_RN,       37.55
04/15/2022 16:07:30,N,BIGSTAR_ALL,       38.22
04/15/2022 16:07:30,N,BLACKJAK_RN,       37.50
04/15/2022 16:07:30,N,BLSMT1_5_A_6,      -33.93
04/15/2022 16:07:30,N,BLUEJAY_RN,       42.21
04/15/2022 16:07:30,N,BOOTLEG_UN1,       15.58
04/15/2022 16:07:30,N,BORDAS_345,       39.60
04/15/2022 16:07:30,N,BOSQUESW_CC1,       52.53
04/15/2022 16:07:30,N,BOSQUESW_CC2,       48.14
04/15/2022 16:07:30,N,BOSQ_BSQSU_5,       48.14
04/15/2022 16:07:30,N,BOSQ_BSQS_12,       48.14
04/15/2022 16:07:30,N,BOSQ_BSQS_34,       52.53
04/15/2022 16:07:30,N,BRANDON_RN,       -6.47
04/15/2022 16:07:30,N,BRAUNIG_CC1,       36.85
04/15/2022 16:07:30,N,BRAUNIG_VHB1,       37.26
04/15/2022 16:07:30,N,BRAUNIG_VHB2,       37.22
04/15/2022 16:07:30,N,BRAUNIG_VHB3,       37.16
04/15/2022 16:07:30,N,BRAZ_WND_ALL,       10.43
04/15/2022 16:07:30,N,BRA_AVR1_CT2,       36.85
04/15/2022 16:07:30,N,BRA_AVR_CST1,       36.85
04/15/2022 16:07:30,N,BRHEIGHT_RN,       69.93
04/15/2022 16:07:30,N,BRIGHTSD_RN,       38.20
04/15/2022 16:07:30,N,BRISCOE_WIND,      -17.39
04/15/2022 16:07:30,N,BRPANGLE_RN,       38.22
04/15/2022 16:07:30,N,BRPMAGNO_RN,      137.54
04/15/2022 16:07:30,N,BRP_BRAZ_RN,       38.39
04/15/2022 16:07:30,N,BRP_DIKN_RN,      112.40
04/15/2022 16:07:30,N,BRP_LOOP_RN,       37.55
04/15/2022 16:07:30,N,BRP_LOP1_RN,       42.97
04/15/2022 16:07:30,N,BRP_PBL1_RN,       87.10
04/15/2022 16:07:30,N,BRP_PBL2_RN,       87.10
04/15/2022 16:07:30,N,BRP_RN_UNIT1,       36.56
04/15/2022 16:07:30,N,BRP_SEMI_RN,      -77.45
04/15/2022 16:07:30,N,BRP_SWNY_RN,       38.52
04/15/2022 16:07:30,N,BRP_ZPT1_RN,       42.40
04/15/2022 16:07:30,N,BRP_ZPT2_RN,       42.40
04/15/2022 16:07:30,N,BRTSW_BCW1,      322.58
04/15/2022 16:07:30,N,BR_VHB6CT5_6,       37.26
04/15/2022 16:07:30,N,BR_VHB6CT7_8,       37.26
04/15/2022 16:07:30,N,BSS_U1,       38.69
04/15/2022 16:07:30,N,BTE_BTE_G1,       50.35
04/15/2022 16:07:30,N,BTE_BTE_G2,       50.35
04/15/2022 16:07:30,N,BTE_BTE_G3,       50.35
04/15/2022 16:07:30,N,BTE_BTE_G4,       50.35
04/15/2022 16:07:30,N,BTE_CC1,       50.35
04/15/2022 16:07:30,N,BTE_PUN1,       50.35
04/15/2022 16:07:30,N,BTE_PUN2,       50.35
04/15/2022 16:07:30,N,BUCHAN_ALL,       37.59
04/15/2022 16:07:30,N,BUCKTHRN_RN,      146.30
04/15/2022 16:07:30,N,BUFF_GAP_ALL,       25.00
04/15/2022 16:07:30,N,BULLCRK_1_2,        9.47
04/15/2022 16:07:30,N,BVE_CC1,       39.17
04/15/2022 16:07:30,N,BVE_UNIT1,       39.17
