SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
04/15/2022 16:30:16,N,AEEC,      -11.10
04/15/2022 16:30:16,N,AJAXWIND_RN,      -62.66
04/15/2022 16:30:16,N,ALGOD_ALL_RN,       43.67
04/15/2022 16:30:16,N,ALVIN_RN,       20.59
04/15/2022 16:30:16,N,AMADEUS_ALL,        4.63
04/15/2022 16:30:16,N,AMISTAD_ALL,      -37.38
04/15/2022 16:30:16,N,AMOCOOIL_CC1,       69.92
04/15/2022 16:30:16,N,AMOCOOIL_CC2,       69.92
04/15/2022 16:30:16,N,AMOCO_PUN1,       69.92
04/15/2022 16:30:16,N,AMOCO_PUN2,       69.92
04/15/2022 16:30:16,N,AMO_AMOCO_1,       69.92
04/15/2022 16:30:16,N,AMO_AMOCO_2,       69.92
04/15/2022 16:30:16,N,AMO_AMOCO_5,       69.92
04/15/2022 16:30:16,N,AMO_AMOCO_G1,       69.92
04/15/2022 16:30:16,N,AMO_AMOCO_G2,       69.92
04/15/2022 16:30:16,N,AMO_AMOCO_G3,       69.92
04/15/2022 16:30:16,N,AMO_AMOCO_S1,       69.92
04/15/2022 16:30:16,N,AMO_AMOCO_S2,       69.92
04/15/2022 16:30:16,N,ANACACHO_ANA,      -34.09
04/15/2022 16:30:16,N,ANCHOR_ALL,       26.94
04/15/2022 16:30:16,N,ANSON1_ALL,       12.74
04/15/2022 16:30:16,N,AQUI_ALL,       47.29
04/15/2022 16:30:16,N,ARAGORN_RN,       16.69
04/15/2022 16:30:16,N,ASTRA_RN,      -18.92
04/15/2022 16:30:16,N,ATK_ATKINSG7,       48.10
04/15/2022 16:30:16,N,AUSTPL_ALL,       43.99
04/15/2022 16:30:16,N,AVIAT_ALL,       22.00
04/15/2022 16:30:16,N,AZURE_RN,        2.37
04/15/2022 16:30:16,N,AZ_ALL,       55.11
04/15/2022 16:30:16,N,BAC_RN_ALL,       69.92
04/15/2022 16:30:16,N,BAFFIN_ALL,        -.37
04/15/2022 16:30:16,N,BAIRDWND_ALL,       18.42
04/15/2022 16:30:16,N,BARROW_ALL,       16.16
04/15/2022 16:30:16,N,BASTEN_CC1,       44.25
04/15/2022 16:30:16,N,BASTEN_CCU,       44.25
04/15/2022 16:30:16,N,BATCAVE_RN,       38.65
04/15/2022 16:30:16,N,BBREEZE_1_2,      -34.44
04/15/2022 16:30:16,N,BCATWD_WD_1,     1941.30
04/15/2022 16:30:16,N,BCH_RN,       46.49
04/15/2022 16:30:16,N,BCK_RN,       44.22
04/15/2022 16:30:16,N,BIGSTAR_ALL,       44.15
04/15/2022 16:30:16,N,BLACKJAK_RN,       43.68
04/15/2022 16:30:16,N,BLSMT1_5_A_6,      -39.12
04/15/2022 16:30:16,N,BLUEJAY_RN,       48.17
04/15/2022 16:30:16,N,BOOTLEG_UN1,       18.18
04/15/2022 16:30:16,N,BORDAS_345,       46.01
04/15/2022 16:30:16,N,BOSQUESW_CC1,       60.36
04/15/2022 16:30:16,N,BOSQUESW_CC2,       55.27
04/15/2022 16:30:16,N,BOSQ_BSQSU_5,       55.27
04/15/2022 16:30:16,N,BOSQ_BSQS_12,       55.27
04/15/2022 16:30:16,N,BOSQ_BSQS_34,       60.36
04/15/2022 16:30:16,N,BRANDON_RN,       -7.43
04/15/2022 16:30:16,N,BRAUNIG_CC1,       42.72
04/15/2022 16:30:16,N,BRAUNIG_VHB1,       43.15
04/15/2022 16:30:16,N,BRAUNIG_VHB2,       43.11
04/15/2022 16:30:16,N,BRAUNIG_VHB3,       43.04
04/15/2022 16:30:16,N,BRAZ_WND_ALL,       12.05
04/15/2022 16:30:16,N,BRA_AVR1_CT2,       42.72
04/15/2022 16:30:16,N,BRA_AVR_CST1,       42.72
04/15/2022 16:30:16,N,BRHEIGHT_RN,       69.92
04/15/2022 16:30:16,N,BRIGHTSD_RN,       44.33
04/15/2022 16:30:16,N,BRISCOE_WIND,      -20.02
04/15/2022 16:30:16,N,BRPANGLE_RN,       44.72
04/15/2022 16:30:16,N,BRPMAGNO_RN,      123.41
04/15/2022 16:30:16,N,BRP_BRAZ_RN,       44.85
04/15/2022 16:30:16,N,BRP_DIKN_RN,      103.52
04/15/2022 16:30:16,N,BRP_LOOP_RN,       43.77
04/15/2022 16:30:16,N,BRP_LOP1_RN,       49.56
04/15/2022 16:30:16,N,BRP_PBL1_RN,       96.65
04/15/2022 16:30:16,N,BRP_PBL2_RN,       96.65
04/15/2022 16:30:16,N,BRP_RN_UNIT1,       42.35
04/15/2022 16:30:16,N,BRP_SEMI_RN,      -46.79
04/15/2022 16:30:16,N,BRP_SWNY_RN,       44.96
04/15/2022 16:30:16,N,BRP_ZPT1_RN,       48.94
04/15/2022 16:30:16,N,BRP_ZPT2_RN,       48.94
04/15/2022 16:30:16,N,BRTSW_BCW1,      371.15
04/15/2022 16:30:16,N,BR_VHB6CT5_6,       43.15
04/15/2022 16:30:16,N,BR_VHB6CT7_8,       43.15
04/15/2022 16:30:16,N,BSS_U1,       45.06
04/15/2022 16:30:16,N,BTE_BTE_G1,       54.45
04/15/2022 16:30:16,N,BTE_BTE_G2,       54.45
04/15/2022 16:30:16,N,BTE_BTE_G3,       54.45
04/15/2022 16:30:16,N,BTE_BTE_G4,       54.45
04/15/2022 16:30:16,N,BTE_CC1,       54.45
04/15/2022 16:30:16,N,BTE_PUN1,       54.45
04/15/2022 16:30:16,N,BTE_PUN2,       54.45
04/15/2022 16:30:16,N,BUCHAN_ALL,       43.40
04/15/2022 16:30:16,N,BUCKTHRN_RN,      168.31
04/15/2022 16:30:16,N,BUFF_GAP_ALL,       28.82
04/15/2022 16:30:16,N,BULLCRK_1_2,       10.93
04/15/2022 16:30:16,N,BVE_CC1,       45.54
04/15/2022 16:30:16,N,BVE_UNIT1,       45.54
04/15/2022 16:30:16,N,BVE_UNIT2,       45.54
04/15/2022 16:30:16,N,BVE_UNIT3,       45.54
04/15/2022 16:30:16,N,BYRDR_ES_ALL,       44.96
04/15/2022 16:30:16,N,BYU_BYU_1,       59.44
04/15/2022 16:30:16,N,BYU_BYU_12,       59.44
04/15/2022 16:30:16,N,BYU_BYU_34,       59.44
04/15/2022 16:30:16,N,BYU_BYU_G8,       59.44
04/15/2022 16:30:16,N,BYU_CC1,       59.44
04/15/2022 16:30:16,N,BYU_PUN1,       59.44
04/15/2022 16:30:16,N,BYU_PUN2,       59.44
04/15/2022 16:30:16,N,BYU_PUN3,       59.44
04/15/2022 16:30:16,N,BYU_PUN4,       59.44
04/15/2022 16:30:16,N,B_DAVIS_3,       43.30
04/15/2022 16:30:16,N,B_DAVIS_4,       43.30
04/15/2022 16:30:16,N,B_DAVIS_CC1,       43.30
04/15/2022 16:30:16,N,B_D_B_DAVIG1,       43.30
04/15/2022 16:30:16,N,B_D_B_DAVIG2,       43.30
04/15/2022 16:30:16,N,CABEZON_ALL,       46.00
04/15/2022 16:30:16,N,CALAVER_JKS1,       42.86
04/15/2022 16:30:16,N,CALAVER_JKS2,       42.86
04/15/2022 16:30:16,N,CALAVER_JTD1,       43.08
04/15/2022 16:30:16,N,CALAVER_JTD2,       43.08
04/15/2022 16:30:16,N,CALAVER_OWS1,       43.08
04/15/2022 16:30:16,N,CALAVER_OWS2,       43.15
04/15/2022 16:30:16,N,CALHOUN_ALL,       43.53
04/15/2022 16:30:16,N,CALLAHA_WND1,       45.44
04/15/2022 16:30:16,N,CAL_CALGT1,       55.30
04/15/2022 16:30:16,N,CAL_CALSTG1,       55.30
04/15/2022 16:30:16,N,CAL_CC1,       55.30
04/15/2022 16:30:16,N,CAL_PUN1,       55.30
04/15/2022 16:30:16,N,CAL_PUN2,       55.30
04/15/2022 16:30:16,N,CAMWIND_RN,       13.19
04/15/2022 16:30:16,N,CAPRIDG4_CR4,       22.00
04/15/2022 16:30:16,N,CAPRIDGE_ALL,       22.00
04/15/2022 16:30:16,N,CARBN_BSP_1,       16.35
04/15/2022 16:30:16,N,CASL_GAP_UN1,       16.06
04/15/2022 16:30:16,N,CBECII_1,       43.00
04/15/2022 16:30:16,N,CBECII_2,       43.00
04/15/2022 16:30:16,N,CBECII_89,       43.00
04/15/2022 16:30:16,N,CBECII_CC3,       43.00
04/15/2022 16:30:16,N,CBECII_CT7,       43.00
04/15/2022 16:30:16,N,CBEC_ALL,       44.03
04/15/2022 16:30:16,N,CBEC_CC1,       44.03
04/15/2022 16:30:16,N,CBEC_CC2,       44.03
04/15/2022 16:30:16,N,CBY4_ALL,       54.83
04/15/2022 16:30:16,N,CBY4_CC1,       54.83
04/15/2022 16:30:16,N,CBY_CBY_G1,       55.22
04/15/2022 16:30:16,N,CBY_CBY_G2,       54.89
04/15/2022 16:30:16,N,CCEC_CC1,       43.43
04/15/2022 16:30:16,N,CCEC_GT1,       43.43
04/15/2022 16:30:16,N,CCEC_GT2,       43.43
04/15/2022 16:30:16,N,CCEC_PUN1,       43.43
04/15/2022 16:30:16,N,CCEC_PUN2,       43.43
04/15/2022 16:30:16,N,CCEC_ST1,       43.43
04/15/2022 16:30:16,N,CEDROHI_CHW1,       46.66
04/15/2022 16:30:16,N,CFLATS_UNIT,       32.16
