SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
04/18/2022 18:10:15,N,AEEC,        8.54
04/18/2022 18:10:15,N,AJAXWIND_RN,      -14.64
04/18/2022 18:10:15,N,ALGOD_ALL_RN,       38.97
04/18/2022 18:10:15,N,ALVIN_RN,       11.28
04/18/2022 18:10:15,N,AMADEUS_ALL,       23.74
04/18/2022 18:10:15,N,AMISTAD_ALL,      -35.22
04/18/2022 18:10:15,N,AMOCOOIL_CC1,       70.13
04/18/2022 18:10:15,N,AMOCOOIL_CC2,       70.13
04/18/2022 18:10:15,N,AMOCO_PUN1,       70.13
04/18/2022 18:10:15,N,AMOCO_PUN2,       70.13
04/18/2022 18:10:15,N,AMO_AMOCO_1,       70.13
04/18/2022 18:10:15,N,AMO_AMOCO_2,       70.13
04/18/2022 18:10:15,N,AMO_AMOCO_5,       70.13
04/18/2022 18:10:15,N,AMO_AMOCO_G1,       70.13
04/18/2022 18:10:15,N,AMO_AMOCO_G2,       70.13
04/18/2022 18:10:15,N,AMO_AMOCO_G3,       70.13
04/18/2022 18:10:15,N,AMO_AMOCO_S1,       70.13
04/18/2022 18:10:15,N,AMO_AMOCO_S2,       70.13
04/18/2022 18:10:15,N,ANACACHO_ANA,      -34.07
04/18/2022 18:10:15,N,ANCHOR_ALL,       31.70
04/18/2022 18:10:15,N,ANSON1_ALL,       25.00
04/18/2022 18:10:15,N,AQUI_ALL,       42.08
04/18/2022 18:10:15,N,ARAGORN_RN,       25.59
04/18/2022 18:10:15,N,ASTRA_RN,        4.33
04/18/2022 18:10:15,N,ATK_ATKINSG7,       42.30
04/18/2022 18:10:15,N,AUSTPL_ALL,       39.33
04/18/2022 18:10:15,N,AVIAT_ALL,       28.99
04/18/2022 18:10:15,N,AZURE_RN,       19.05
04/18/2022 18:10:15,N,AZ_ALL,       51.67
04/18/2022 18:10:15,N,BAC_RN_ALL,       70.13
04/18/2022 18:10:15,N,BAFFIN_ALL,       -4.01
04/18/2022 18:10:15,N,BAIRDWND_ALL,       27.47
04/18/2022 18:10:15,N,BARROW_ALL,       25.60
04/18/2022 18:10:15,N,BASTEN_CC1,       39.23
04/18/2022 18:10:15,N,BASTEN_CCU,       39.23
04/18/2022 18:10:15,N,BATCAVE_RN,       36.83
04/18/2022 18:10:15,N,BBREEZE_1_2,       -4.01
04/18/2022 18:10:15,N,BCATWD_WD_1,      969.39
04/18/2022 18:10:15,N,BCH_RN,       41.45
04/18/2022 18:10:15,N,BCK_RN,       38.66
04/18/2022 18:10:15,N,BIGSTAR_ALL,       39.13
04/18/2022 18:10:15,N,BLACKJAK_RN,       38.88
04/18/2022 18:10:15,N,BLSMT1_5_A_6,       -3.78
04/18/2022 18:10:15,N,BLUEJAY_RN,       42.39
04/18/2022 18:10:15,N,BOOTLEG_UN1,       25.88
04/18/2022 18:10:15,N,BORDAS_345,      -23.00
04/18/2022 18:10:15,N,BOSQUESW_CC1,       47.93
04/18/2022 18:10:15,N,BOSQUESW_CC2,       45.66
04/18/2022 18:10:15,N,BOSQ_BSQSU_5,       45.66
04/18/2022 18:10:15,N,BOSQ_BSQS_12,       45.66
04/18/2022 18:10:15,N,BOSQ_BSQS_34,       47.93
04/18/2022 18:10:15,N,BRANDON_RN,       11.09
04/18/2022 18:10:15,N,BRAUNIG_CC1,       38.96
04/18/2022 18:10:15,N,BRAUNIG_VHB1,       39.37
04/18/2022 18:10:15,N,BRAUNIG_VHB2,       39.33
04/18/2022 18:10:15,N,BRAUNIG_VHB3,       39.25
04/18/2022 18:10:15,N,BRAZ_WND_ALL,       25.95
04/18/2022 18:10:15,N,BRA_AVR1_CT2,       38.96
04/18/2022 18:10:15,N,BRA_AVR_CST1,       38.96
04/18/2022 18:10:15,N,BRHEIGHT_RN,       70.13
04/18/2022 18:10:15,N,BRIGHTSD_RN,       41.01
04/18/2022 18:10:15,N,BRISCOE_WIND,        3.55
04/18/2022 18:10:15,N,BRPANGLE_RN,       39.28
04/18/2022 18:10:15,N,BRPMAGNO_RN,      131.98
04/18/2022 18:10:15,N,BRP_BRAZ_RN,       39.43
04/18/2022 18:10:15,N,BRP_DIKN_RN,      108.95
04/18/2022 18:10:15,N,BRP_LOOP_RN,       38.95
04/18/2022 18:10:15,N,BRP_LOP1_RN,       43.85
04/18/2022 18:10:15,N,BRP_PBL1_RN,       95.23
04/18/2022 18:10:15,N,BRP_PBL2_RN,       95.23
04/18/2022 18:10:15,N,BRP_RN_UNIT1,       38.80
04/18/2022 18:10:15,N,BRP_SEMI_RN,      -66.60
04/18/2022 18:10:15,N,BRP_SWNY_RN,       39.55
