SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
04/18/2022 14:45:18,N,AEEC,       45.29
04/18/2022 14:45:18,N,AJAXWIND_RN,       44.89
04/18/2022 14:45:18,N,ALGOD_ALL_RN,       51.68
04/18/2022 14:45:18,N,ALVIN_RN,       41.17
04/18/2022 14:45:18,N,AMADEUS_ALL,       45.60
04/18/2022 14:45:18,N,AMISTAD_ALL,      -34.28
04/18/2022 14:45:18,N,AMOCOOIL_CC1,       70.13
04/18/2022 14:45:18,N,AMOCOOIL_CC2,       70.13
04/18/2022 14:45:18,N,AMOCO_PUN1,       70.13
04/18/2022 14:45:18,N,AMOCO_PUN2,       70.13
04/18/2022 14:45:18,N,AMO_AMOCO_1,       70.13
04/18/2022 14:45:18,N,AMO_AMOCO_2,       70.13
04/18/2022 14:45:18,N,AMO_AMOCO_5,       70.13
04/18/2022 14:45:18,N,AMO_AMOCO_G1,       70.13
04/18/2022 14:45:18,N,AMO_AMOCO_G2,       70.13
04/18/2022 14:45:18,N,AMO_AMOCO_G3,       70.13
04/18/2022 14:45:18,N,AMO_AMOCO_S1,       70.13
04/18/2022 14:45:18,N,AMO_AMOCO_S2,       70.13
04/18/2022 14:45:18,N,ANACACHO_ANA,      -34.09
04/18/2022 14:45:18,N,ANCHOR_ALL,       46.50
04/18/2022 14:45:18,N,ANSON1_ALL,       45.89
04/18/2022 14:45:18,N,AQUI_ALL,       47.18
04/18/2022 14:45:18,N,ARAGORN_RN,       43.44
04/18/2022 14:45:18,N,ASTRA_RN,       45.28
04/18/2022 14:45:18,N,ATK_ATKINSG7,       48.09
04/18/2022 14:45:18,N,AUSTPL_ALL,       49.67
04/18/2022 14:45:18,N,AVIAT_ALL,       45.64
04/18/2022 14:45:18,N,AZURE_RN,       45.80
04/18/2022 14:45:18,N,AZ_ALL,       94.36
04/18/2022 14:45:18,N,BAC_RN_ALL,       70.13
04/18/2022 14:45:18,N,BAFFIN_ALL,       -4.01
04/18/2022 14:45:18,N,BAIRDWND_ALL,       46.21
04/18/2022 14:45:18,N,BARROW_ALL,       43.87
04/18/2022 14:45:18,N,BASTEN_CC1,       50.03
04/18/2022 14:45:18,N,BASTEN_CCU,       50.03
04/18/2022 14:45:18,N,BATCAVE_RN,       48.89
04/18/2022 14:45:18,N,BBREEZE_1_2,       -4.01
04/18/2022 14:45:18,N,BCATWD_WD_1,       74.44
04/18/2022 14:45:18,N,BCH_RN,       53.27
04/18/2022 14:45:18,N,BCK_RN,       50.56
04/18/2022 14:45:18,N,BIGSTAR_ALL,       49.98
04/18/2022 14:45:18,N,BLACKJAK_RN,       51.65
04/18/2022 14:45:18,N,BLSMT1_5_A_6,       45.16
04/18/2022 14:45:18,N,BLUEJAY_RN,       48.06
04/18/2022 14:45:18,N,BOOTLEG_UN1,       42.82
04/18/2022 14:45:18,N,BORDAS_345,       56.43
04/18/2022 14:45:18,N,BOSQUESW_CC1,       47.52
04/18/2022 14:45:18,N,BOSQUESW_CC2,       47.45
04/18/2022 14:45:18,N,BOSQ_BSQSU_5,       47.45
04/18/2022 14:45:18,N,BOSQ_BSQS_12,       47.45
04/18/2022 14:45:18,N,BOSQ_BSQS_34,       47.52
04/18/2022 14:45:18,N,BRANDON_RN,       45.28
04/18/2022 14:45:18,N,BRAUNIG_CC1,       51.16
04/18/2022 14:45:18,N,BRAUNIG_VHB1,       51.25
04/18/2022 14:45:18,N,BRAUNIG_VHB2,       51.25
04/18/2022 14:45:18,N,BRAUNIG_VHB3,       51.23
04/18/2022 14:45:18,N,BRAZ_WND_ALL,       45.44
04/18/2022 14:45:18,N,BRA_AVR1_CT2,       51.16
04/18/2022 14:45:18,N,BRA_AVR_CST1,       51.16
04/18/2022 14:45:18,N,BRHEIGHT_RN,       70.13
04/18/2022 14:45:18,N,BRIGHTSD_RN,       53.73
04/18/2022 14:45:18,N,BRISCOE_WIND,       45.28
04/18/2022 14:45:18,N,BRPANGLE_RN,       51.66
04/18/2022 14:45:18,N,BRPMAGNO_RN,       93.12
04/18/2022 14:45:18,N,BRP_BRAZ_RN,       51.72
04/18/2022 14:45:18,N,BRP_DIKN_RN,       84.56
04/18/2022 14:45:18,N,BRP_LOOP_RN,       51.97
04/18/2022 14:45:18,N,BRP_LOP1_RN,       57.68
04/18/2022 14:45:18,N,BRP_PBL1_RN,      119.97
04/18/2022 14:45:18,N,BRP_PBL2_RN,      119.97
04/18/2022 14:45:18,N,BRP_RN_UNIT1,       50.86
04/18/2022 14:45:18,N,BRP_SEMI_RN,       12.22
