SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
04/14/2022 12:10:16,N,AEEC,       11.60
04/14/2022 12:10:16,N,AJAXWIND_RN,       12.14
04/14/2022 12:10:16,N,ALGOD_ALL_RN,       10.18
04/14/2022 12:10:16,N,ALVIN_RN,       18.98
04/14/2022 12:10:16,N,AMADEUS_ALL,       11.40
04/14/2022 12:10:16,N,AMISTAD_ALL,      -43.69
04/14/2022 12:10:16,N,AMOCOOIL_CC1,       18.97
04/14/2022 12:10:16,N,AMOCOOIL_CC2,       18.97
04/14/2022 12:10:16,N,AMOCO_PUN1,       18.97
04/14/2022 12:10:16,N,AMOCO_PUN2,       18.97
04/14/2022 12:10:16,N,AMO_AMOCO_1,       18.97
04/14/2022 12:10:16,N,AMO_AMOCO_2,       18.97
04/14/2022 12:10:16,N,AMO_AMOCO_5,       18.97
04/14/2022 12:10:16,N,AMO_AMOCO_G1,       18.97
04/14/2022 12:10:16,N,AMO_AMOCO_G2,       18.97
04/14/2022 12:10:16,N,AMO_AMOCO_G3,       18.97
04/14/2022 12:10:16,N,AMO_AMOCO_S1,       18.97
04/14/2022 12:10:16,N,AMO_AMOCO_S2,       18.97
04/14/2022 12:10:16,N,ANACACHO_ANA,      -49.42
04/14/2022 12:10:16,N,ANCHOR_ALL,       12.82
04/14/2022 12:10:16,N,ANSON1_ALL,       11.84
04/14/2022 12:10:16,N,AQUI_ALL,       13.12
04/14/2022 12:10:16,N,ARAGORN_RN,        6.18
04/14/2022 12:10:16,N,ASTRA_RN,       11.76
04/14/2022 12:10:16,N,ATK_ATKINSG7,       15.54
04/14/2022 12:10:16,N,AUSTPL_ALL,       12.36
04/14/2022 12:10:16,N,AVIAT_ALL,       11.07
04/14/2022 12:10:16,N,AZURE_RN,       12.00
04/14/2022 12:10:16,N,AZ_ALL,       18.49
04/14/2022 12:10:16,N,BAC_RN_ALL,       18.97
04/14/2022 12:10:16,N,BAFFIN_ALL,       -4.00
04/14/2022 12:10:16,N,BAIRDWND_ALL,       12.39
04/14/2022 12:10:16,N,BARROW_ALL,        7.38
04/14/2022 12:10:16,N,BASTEN_CC1,       12.18
04/14/2022 12:10:16,N,BASTEN_CCU,       12.18
04/14/2022 12:10:16,N,BATCAVE_RN,       12.02
04/14/2022 12:10:16,N,BBREEZE_1_2,       -2.34
04/14/2022 12:10:16,N,BCATWD_WD_1,       12.31
04/14/2022 12:10:16,N,BCH_RN,       41.58
04/14/2022 12:10:16,N,BCK_RN,       21.17
04/14/2022 12:10:16,N,BIGSTAR_ALL,       12.08
04/14/2022 12:10:16,N,BLACKJAK_RN,       10.70
04/14/2022 12:10:16,N,BLSMT1_5_A_6,       12.01
04/14/2022 12:10:16,N,BLUEJAY_RN,       15.66
04/14/2022 12:10:16,N,BOOTLEG_UN1,        4.57
04/14/2022 12:10:16,N,BORDAS_345,       12.29
04/14/2022 12:10:16,N,BOSQUESW_CC1,       13.22
04/14/2022 12:10:16,N,BOSQUESW_CC2,       13.27
04/14/2022 12:10:16,N,BOSQ_BSQSU_5,       13.27
04/14/2022 12:10:16,N,BOSQ_BSQS_12,       13.27
04/14/2022 12:10:16,N,BOSQ_BSQS_34,       13.22
04/14/2022 12:10:16,N,BRANDON_RN,       11.52
04/14/2022 12:10:16,N,BRAUNIG_CC1,       11.96
04/14/2022 12:10:16,N,BRAUNIG_VHB1,       12.28
04/14/2022 12:10:16,N,BRAUNIG_VHB2,       12.24
04/14/2022 12:10:16,N,BRAUNIG_VHB3,       12.19
04/14/2022 12:10:16,N,BRAZ_WND_ALL,       10.79
04/14/2022 12:10:16,N,BRA_AVR1_CT2,       11.96
04/14/2022 12:10:16,N,BRA_AVR_CST1,       11.96
04/14/2022 12:10:16,N,BRHEIGHT_RN,       18.97
04/14/2022 12:10:16,N,BRIGHTSD_RN,       12.49
04/14/2022 12:10:16,N,BRISCOE_WIND,       11.79
04/14/2022 12:10:16,N,BRPANGLE_RN,       58.99
04/14/2022 12:10:16,N,BRPMAGNO_RN,       18.97
04/14/2022 12:10:16,N,BRP_BRAZ_RN,       60.41
04/14/2022 12:10:16,N,BRP_DIKN_RN,       18.97
04/14/2022 12:10:16,N,BRP_LOOP_RN,       17.33
04/14/2022 12:10:16,N,BRP_LOP1_RN,       12.82
04/14/2022 12:10:16,N,BRP_PBL1_RN,       71.80
04/14/2022 12:10:16,N,BRP_PBL2_RN,       71.80
04/14/2022 12:10:16,N,BRP_RN_UNIT1,       12.00
04/14/2022 12:10:16,N,BRP_SEMI_RN,       18.97
04/14/2022 12:10:16,N,BRP_SWNY_RN,       61.51
04/14/2022 12:10:16,N,BRP_ZPT1_RN,       13.39
04/14/2022 12:10:16,N,BRP_ZPT2_RN,       13.39
04/14/2022 12:10:16,N,BRTSW_BCW1,       12.73
04/14/2022 12:10:16,N,BR_VHB6CT5_6,       12.28
04/14/2022 12:10:16,N,BR_VHB6CT7_8,       12.28
04/14/2022 12:10:16,N,BSS_U1,       62.91
04/14/2022 12:10:16,N,BTE_BTE_G1,       18.30
04/14/2022 12:10:16,N,BTE_BTE_G2,       18.30
04/14/2022 12:10:16,N,BTE_BTE_G3,       18.30
