SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
04/14/2022 11:50:15,N,AEEC,        2.35
04/14/2022 11:50:15,N,AJAXWIND_RN,        2.83
04/14/2022 11:50:15,N,ALGOD_ALL_RN,       17.81
04/14/2022 11:50:15,N,ALVIN_RN,      -35.58
04/14/2022 11:50:15,N,AMADEUS_ALL,        2.22
04/14/2022 11:50:15,N,AMISTAD_ALL,      -36.68
04/14/2022 11:50:15,N,AMOCOOIL_CC1,       77.25
04/14/2022 11:50:15,N,AMOCOOIL_CC2,       77.25
04/14/2022 11:50:15,N,AMOCO_PUN1,       77.25
04/14/2022 11:50:15,N,AMOCO_PUN2,       77.25
04/14/2022 11:50:15,N,AMO_AMOCO_1,       77.25
04/14/2022 11:50:15,N,AMO_AMOCO_2,       77.25
04/14/2022 11:50:15,N,AMO_AMOCO_5,       77.25
04/14/2022 11:50:15,N,AMO_AMOCO_G1,       77.25
04/14/2022 11:50:15,N,AMO_AMOCO_G2,       77.25
04/14/2022 11:50:15,N,AMO_AMOCO_G3,       77.25
04/14/2022 11:50:15,N,AMO_AMOCO_S1,       77.25
04/14/2022 11:50:15,N,AMO_AMOCO_S2,       77.25
04/14/2022 11:50:15,N,ANACACHO_ANA,      -34.08
04/14/2022 11:50:15,N,ANCHOR_ALL,        2.53
04/14/2022 11:50:15,N,ANSON1_ALL,        2.27
04/14/2022 11:50:15,N,AQUI_ALL,       21.32
04/14/2022 11:50:15,N,ARAGORN_RN,         .61
04/14/2022 11:50:15,N,ASTRA_RN,        2.44
04/14/2022 11:50:15,N,ATK_ATKINSG7,       23.06
04/14/2022 11:50:15,N,AUSTPL_ALL,       18.82
04/14/2022 11:50:15,N,AVIAT_ALL,        1.80
04/14/2022 11:50:15,N,AZURE_RN,        2.36
04/14/2022 11:50:15,N,AZ_ALL,       42.67
04/14/2022 11:50:15,N,BAC_RN_ALL,       77.25
04/14/2022 11:50:15,N,BAFFIN_ALL,       -4.00
04/14/2022 11:50:15,N,BAIRDWND_ALL,        2.41
04/14/2022 11:50:15,N,BARROW_ALL,         .98
04/14/2022 11:50:15,N,BASTEN_CC1,       18.47
04/14/2022 11:50:15,N,BASTEN_CCU,       18.47
04/14/2022 11:50:15,N,BATCAVE_RN,       15.23
04/14/2022 11:50:15,N,BBREEZE_1_2,       20.60
04/14/2022 11:50:15,N,BCATWD_WD_1,        6.40
04/14/2022 11:50:15,N,BCH_RN,       15.14
04/14/2022 11:50:15,N,BCK_RN,       17.08
04/14/2022 11:50:15,N,BIGSTAR_ALL,       18.45
04/14/2022 11:50:15,N,BLACKJAK_RN,       17.79
04/14/2022 11:50:15,N,BLSMT1_5_A_6,        2.63
04/14/2022 11:50:15,N,BLUEJAY_RN,       23.18
04/14/2022 11:50:15,N,BOOTLEG_UN1,         .09
04/14/2022 11:50:15,N,BORDAS_345,       20.15
04/14/2022 11:50:15,N,BOSQUESW_CC1,       20.43
04/14/2022 11:50:15,N,BOSQUESW_CC2,       20.66
04/14/2022 11:50:15,N,BOSQ_BSQSU_5,       20.66
04/14/2022 11:50:15,N,BOSQ_BSQS_12,       20.66
04/14/2022 11:50:15,N,BOSQ_BSQS_34,       20.43
04/14/2022 11:50:15,N,BRANDON_RN,        2.31
04/14/2022 11:50:15,N,BRAUNIG_CC1,       18.78
04/14/2022 11:50:15,N,BRAUNIG_VHB1,       18.86
04/14/2022 11:50:15,N,BRAUNIG_VHB2,       18.88
04/14/2022 11:50:15,N,BRAUNIG_VHB3,       18.90
04/14/2022 11:50:15,N,BRAZ_WND_ALL,        2.09
04/14/2022 11:50:15,N,BRA_AVR1_CT2,       18.78
04/14/2022 11:50:15,N,BRA_AVR_CST1,       18.78
04/14/2022 11:50:15,N,BRHEIGHT_RN,       77.25
04/14/2022 11:50:15,N,BRIGHTSD_RN,       18.96
04/14/2022 11:50:15,N,BRISCOE_WIND,        2.45
04/14/2022 11:50:15,N,BRPANGLE_RN,       15.38
04/14/2022 11:50:15,N,BRPMAGNO_RN,      195.12
04/14/2022 11:50:15,N,BRP_BRAZ_RN,       15.60
04/14/2022 11:50:15,N,BRP_DIKN_RN,      151.26
04/14/2022 11:50:15,N,BRP_LOOP_RN,       17.57
04/14/2022 11:50:15,N,BRP_LOP1_RN,       20.66
04/14/2022 11:50:15,N,BRP_PBL1_RN,       54.27
04/14/2022 11:50:15,N,BRP_PBL2_RN,       54.27
04/14/2022 11:50:15,N,BRP_RN_UNIT1,       18.86
04/14/2022 11:50:15,N,BRP_SEMI_RN,     -184.02
04/14/2022 11:50:15,N,BRP_SWNY_RN,       15.77
04/14/2022 11:50:15,N,BRP_ZPT1_RN,       20.81
04/14/2022 11:50:15,N,BRP_ZPT2_RN,       20.81
04/14/2022 11:50:15,N,BRTSW_BCW1,       16.91
04/14/2022 11:50:15,N,BR_VHB6CT5_6,       18.86
04/14/2022 11:50:15,N,BR_VHB6CT7_8,       18.86
04/14/2022 11:50:15,N,BSS_U1,       15.99
04/14/2022 11:50:15,N,BTE_BTE_G1,       40.94
04/14/2022 11:50:15,N,BTE_BTE_G2,       40.94
04/14/2022 11:50:15,N,BTE_BTE_G3,       40.94
04/14/2022 11:50:15,N,BTE_BTE_G4,       40.94
04/14/2022 11:50:15,N,BTE_CC1,       40.94
04/14/2022 11:50:15,N,BTE_PUN1,       40.94
04/14/2022 11:50:15,N,BTE_PUN2,       40.94
04/14/2022 11:50:15,N,BUCHAN_ALL,       18.70
04/14/2022 11:50:15,N,BUCKTHRN_RN,       16.35
04/14/2022 11:50:15,N,BUFF_GAP_ALL,        2.42
04/14/2022 11:50:15,N,BULLCRK_1_2,        2.02
04/14/2022 11:50:15,N,BVE_CC1,       19.92
04/14/2022 11:50:15,N,BVE_UNIT1,       19.92
04/14/2022 11:50:15,N,BVE_UNIT2,       19.92
04/14/2022 11:50:15,N,BVE_UNIT3,       19.92
04/14/2022 11:50:15,N,BYRDR_ES_ALL,       15.77
04/14/2022 11:50:15,N,BYU_BYU_1,       52.94
04/14/2022 11:50:15,N,BYU_BYU_12,       52.94
04/14/2022 11:50:15,N,BYU_BYU_34,       52.94
04/14/2022 11:50:15,N,BYU_BYU_G8,       52.94
04/14/2022 11:50:15,N,BYU_CC1,       52.94
04/14/2022 11:50:15,N,BYU_PUN1,       52.94
04/14/2022 11:50:15,N,BYU_PUN2,       52.94
04/14/2022 11:50:15,N,BYU_PUN3,       52.94
04/14/2022 11:50:15,N,BYU_PUN4,       52.94
04/14/2022 11:50:15,N,B_DAVIS_3,       10.47
04/14/2022 11:50:15,N,B_DAVIS_4,       10.47
04/14/2022 11:50:15,N,B_DAVIS_CC1,       10.47
04/14/2022 11:50:15,N,B_D_B_DAVIG1,       10.47
04/14/2022 11:50:15,N,B_D_B_DAVIG2,       10.47
04/14/2022 11:50:15,N,CABEZON_ALL,       20.14
04/14/2022 11:50:15,N,CALAVER_JKS1,       18.75
04/14/2022 11:50:15,N,CALAVER_JKS2,       18.75
04/14/2022 11:50:15,N,CALAVER_JTD1,       18.84
04/14/2022 11:50:15,N,CALAVER_JTD2,       18.84
04/14/2022 11:50:15,N,CALAVER_OWS1,       18.84
04/14/2022 11:50:15,N,CALAVER_OWS2,       18.82
04/14/2022 11:50:15,N,CALHOUN_ALL,       16.43
04/14/2022 11:50:15,N,CALLAHA_WND1,        2.99
04/14/2022 11:50:15,N,CAL_CALGT1,       43.07
04/14/2022 11:50:15,N,CAL_CALSTG1,       43.07
04/14/2022 11:50:15,N,CAL_CC1,       43.07
04/14/2022 11:50:15,N,CAL_PUN1,       43.07
04/14/2022 11:50:15,N,CAL_PUN2,       43.07
04/14/2022 11:50:15,N,CAMWIND_RN,       20.73
04/14/2022 11:50:15,N,CAPRIDG4_CR4,        1.80
04/14/2022 11:50:15,N,CAPRIDGE_ALL,        1.80
04/14/2022 11:50:15,N,CARBN_BSP_1,        1.58
04/14/2022 11:50:15,N,CASL_GAP_UN1,        -.70
04/14/2022 11:50:15,N,CBECII_1,       14.40
04/14/2022 11:50:15,N,CBECII_2,       14.40
04/14/2022 11:50:15,N,CBECII_89,       14.40
04/14/2022 11:50:15,N,CBECII_CC3,       14.40
04/14/2022 11:50:15,N,CBECII_CT7,       14.40
04/14/2022 11:50:15,N,CBEC_ALL,       15.73
04/14/2022 11:50:15,N,CBEC_CC1,       15.73
04/14/2022 11:50:15,N,CBEC_CC2,       15.73
04/14/2022 11:50:15,N,CBY4_ALL,       41.83
04/14/2022 11:50:15,N,CBY4_CC1,       41.83
04/14/2022 11:50:15,N,CBY_CBY_G1,       42.84
04/14/2022 11:50:15,N,CBY_CBY_G2,       42.00
04/14/2022 11:50:15,N,CCEC_CC1,       15.29
04/14/2022 11:50:15,N,CCEC_GT1,       15.29
04/14/2022 11:50:15,N,CCEC_GT2,       15.29
04/14/2022 11:50:15,N,CCEC_PUN1,       15.29
04/14/2022 11:50:15,N,CCEC_PUN2,       15.29
04/14/2022 11:50:15,N,CCEC_ST1,       15.29
04/14/2022 11:50:15,N,CEDROHI_CHW1,       20.40
04/14/2022 11:50:15,N,CFLATS_UNIT,        7.38
04/14/2022 11:50:15,N,CHALUP_ALL,       20.78
04/14/2022 11:50:15,N,CHAMON_UN1,       38.20
04/14/2022 11:50:15,N,CHAMON_UN2,       38.20
04/14/2022 11:50:15,N,CHEDPW_GT2,       34.42
04/14/2022 11:50:15,N,CHE_CC1,       34.74
04/14/2022 11:50:15,N,CHE_LYD,       35.67
04/14/2022 11:50:15,N,CHE_LYD2,       35.67
04/14/2022 11:50:15,N,CHE_PUN1,       35.67
04/14/2022 11:50:15,N,CHE_PUN2,       35.67
04/14/2022 11:50:15,N,CHISMGRD_RN,       21.19
04/14/2022 11:50:15,N,CITYVICT_ALL,       17.53
04/14/2022 11:50:15,N,CN_BRKS_UNT1,        2.45
04/14/2022 11:50:15,N,COL_COLETOG1,       17.96
04/14/2022 11:50:15,N,CONIGLIO_RN,       21.37
04/14/2022 11:50:15,N,CORAZON_RN,       20.20
04/14/2022 11:50:15,N,COTPLNS_RN,        2.41
04/14/2022 11:50:15,N,COTTON_PAP2,       17.34
04/14/2022 11:50:15,N,CPSES_UNIT1,       21.37
04/14/2022 11:50:15,N,CPSES_UNIT2,       21.37
04/14/2022 11:50:15,N,CRANELL_ALL,       17.79
04/14/2022 11:50:15,N,CROSSETT_ALL,        -.87
04/14/2022 11:50:15,N,CSC_CSECG1_2,        2.11
04/14/2022 11:50:15,N,CVC_CC1,       34.29
04/14/2022 11:50:15,N,CVC_CVCG1_5,       34.29
04/14/2022 11:50:15,N,CVC_CVC_G2,       34.29
04/14/2022 11:50:15,N,CVC_CVC_G3,       34.29
04/14/2022 11:50:15,N,DANSBY_ALL,       22.97
04/14/2022 11:50:15,N,DC2SES_ALL,       20.14
04/14/2022 11:50:15,N,DC_E,       21.41
04/14/2022 11:50:15,N,DC_L,       20.62
04/14/2022 11:50:15,N,DC_N,        2.68
04/14/2022 11:50:15,N,DC_R,       20.34
04/14/2022 11:50:15,N,DC_S,       59.99
04/14/2022 11:50:15,N,DDPEC_CC1,       51.25
04/14/2022 11:50:15,N,DDPEC_GT1,       51.25
04/14/2022 11:50:15,N,DDPEC_GT2,       51.25
04/14/2022 11:50:15,N,DDPEC_GT3,       51.25
04/14/2022 11:50:15,N,DDPEC_GT4,       51.25
04/14/2022 11:50:15,N,DDPEC_GT6,       51.25
04/14/2022 11:50:15,N,DDPEC_ST1,       51.25
04/14/2022 11:50:15,N,DECKER_DPG1,       18.77
04/14/2022 11:50:15,N,DECKER_DPG2,       18.77
04/14/2022 11:50:15,N,DECKER_GT,       18.70
04/14/2022 11:50:15,N,DENISON_G1_2,       21.33
04/14/2022 11:50:15,N,DERMOTT_ALL,        2.22
04/14/2022 11:50:15,N,DIB_CC1,       46.61
04/14/2022 11:50:15,N,DIB_DIB_G1,       46.61
04/14/2022 11:50:15,N,DIB_DIB_G2,       46.61
04/14/2022 11:50:15,N,DIB_DIB_G3,       46.61
04/14/2022 11:50:15,N,DIB_DIB_G4,       46.61
04/14/2022 11:50:15,N,DIB_PUN1,       46.61
04/14/2022 11:50:15,N,DIB_PUN2,       46.61
04/14/2022 11:50:15,N,DOWGEN_PUN1,        9.47
04/14/2022 11:50:15,N,DOWGEN_PUN2,        9.47
04/14/2022 11:50:15,N,DOWGEN_PUN3,        9.47
04/14/2022 11:50:15,N,DOW_61_2_63,        9.47
04/14/2022 11:50:15,N,DOW_64,        9.47
04/14/2022 11:50:15,N,DOW_81_2_84,        9.47
