SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
04/15/2022 04:00:20,N,AEEC,      -19.05
04/15/2022 04:00:20,N,AJAXWIND_RN,      -18.56
04/15/2022 04:00:20,N,ALGOD_ALL_RN,       34.21
04/15/2022 04:00:20,N,ALVIN_RN,       33.34
04/15/2022 04:00:20,N,AMADEUS_ALL,      -19.26
04/15/2022 04:00:20,N,AMISTAD_ALL,      -42.79
04/15/2022 04:00:20,N,AMOCOOIL_CC1,       33.32
04/15/2022 04:00:20,N,AMOCOOIL_CC2,       33.32
04/15/2022 04:00:20,N,AMOCO_PUN1,       33.32
04/15/2022 04:00:20,N,AMOCO_PUN2,       33.32
04/15/2022 04:00:20,N,AMO_AMOCO_1,       33.32
04/15/2022 04:00:20,N,AMO_AMOCO_2,       33.32
04/15/2022 04:00:20,N,AMO_AMOCO_5,       33.32
04/15/2022 04:00:20,N,AMO_AMOCO_G1,       33.32
04/15/2022 04:00:20,N,AMO_AMOCO_G2,       33.32
04/15/2022 04:00:20,N,AMO_AMOCO_G3,       33.32
04/15/2022 04:00:20,N,AMO_AMOCO_S1,       33.32
04/15/2022 04:00:20,N,AMO_AMOCO_S2,       33.32
04/15/2022 04:00:20,N,ANACACHO_ANA,      -34.07
04/15/2022 04:00:20,N,ANCHOR_ALL,      -20.29
04/15/2022 04:00:20,N,ANSON1_ALL,      -19.56
04/15/2022 04:00:20,N,AQUI_ALL,       32.97
04/15/2022 04:00:20,N,ARAGORN_RN,      -17.69
04/15/2022 04:00:20,N,ASTRA_RN,      -19.05
04/15/2022 04:00:20,N,ATK_ATKINSG7,       33.12
04/15/2022 04:00:20,N,AUSTPL_ALL,       33.15
04/15/2022 04:00:20,N,AVIAT_ALL,      -18.29
04/15/2022 04:00:20,N,AZURE_RN,      -19.55
04/15/2022 04:00:20,N,AZ_ALL,       33.29
04/15/2022 04:00:20,N,BAC_RN_ALL,       33.32
04/15/2022 04:00:20,N,BAFFIN_ALL,       34.22
04/15/2022 04:00:20,N,BAIRDWND_ALL,      -19.97
04/15/2022 04:00:20,N,BARROW_ALL,      -17.05
04/15/2022 04:00:20,N,BASTEN_CC1,       33.38
04/15/2022 04:00:20,N,BASTEN_CCU,       33.38
04/15/2022 04:00:20,N,BATCAVE_RN,       22.27
04/15/2022 04:00:20,N,BBREEZE_1_2,       34.63
04/15/2022 04:00:20,N,BCATWD_WD_1,      -32.91
04/15/2022 04:00:20,N,BCH_RN,       33.37
04/15/2022 04:00:20,N,BCK_RN,       33.36
04/15/2022 04:00:20,N,BIGSTAR_ALL,       33.41
04/15/2022 04:00:20,N,BLACKJAK_RN,       34.18
04/15/2022 04:00:20,N,BLSMT1_5_A_6,      -18.89
04/15/2022 04:00:20,N,BLUEJAY_RN,       33.13
04/15/2022 04:00:20,N,BOOTLEG_UN1,      -18.42
04/15/2022 04:00:20,N,BORDAS_345,       34.82
04/15/2022 04:00:20,N,BOSQUESW_CC1,       31.04
04/15/2022 04:00:20,N,BOSQUESW_CC2,       31.79
04/15/2022 04:00:20,N,BOSQ_BSQSU_5,       31.79
04/15/2022 04:00:20,N,BOSQ_BSQS_12,       31.79
04/15/2022 04:00:20,N,BOSQ_BSQS_34,       31.04
04/15/2022 04:00:20,N,BRANDON_RN,      -19.04
04/15/2022 04:00:20,N,BRAUNIG_CC1,       33.89
04/15/2022 04:00:20,N,BRAUNIG_VHB1,       33.83
04/15/2022 04:00:20,N,BRAUNIG_VHB2,       33.83
04/15/2022 04:00:20,N,BRAUNIG_VHB3,       33.83
04/15/2022 04:00:20,N,BRAZ_WND_ALL,      -19.86
04/15/2022 04:00:20,N,BRA_AVR1_CT2,       33.89
